"","X","text"
"1409",131,"tear yourself away. We have dissipated enough of our time already; let us in old age begin to pack up our baggage. Surely there is nothing in this that men can begrudge us. We have spent our lives on the high seas; let us die in harbour. Not that I would advise you to try to win fame by your retirement; one's retirement should neither be paraded nor concealed. Not concealed"
"1410",131,"I say"
"1411",131,"for I shall not go so far in urging you as to expect you to condemn all men as mad and then seek out for yourself a hiding-place and oblivion; rather make this your business"
"1412",131,"that your retirement be not conspicuous"
"1413",131,"though it should be obvious. In the second place"
"1414",131,"while those whose choice is unhampered from the start will deliberate on that other question"
"1415",131,"whether they wish to pass their lives in obscurity"
"1416",131,"in your case there is not a free choice. Your ability and energy have thrust you into the work of the world; so have the charm of your writings and the friendships you have made with famous and notable men. Renown has already taken you by storm. You may sink yourself into the depths of obscurity and utterly hide yourself; yet your earlier acts will reveal you. You cannot keep lurking in the dark; much of the old gleam will follow you wherever you fly."
"1417",132,"Peace you can claim for yourself without being disliked by anyone"
"1418",132,"without any sense of loss"
"1419",132,"and without any pangs of spirit. For what will you leave behind you that you can imagine yourself reluctant to leave? Your clients? But none of these men courts you for yourself; they merely court something from you. People used to hunt friends"
"1420",132,"but now they hunt pelf; if a lonely old man changes his will"
"1421",132,"the morning-caller transfers himself to another door. Great things cannot be bought for small sums; so reckon up whether it is preferable to leave your own true self"
"1422",132,"or merely some of your belongings. Would that you had had the privilege of growing old amid the limited circumstances of your origin"
"1423",132,"and that fortune had not raised you to such heights! You were removed far from the sight of wholesome living by your swift rise to prosperity"
"1424",132,"by your province"
"1425",132,"by your position as procurator"
"1426",132,"and by all that such things promise; you will next acquire more important duties and after them still more. And what will be the result? Why wait until there is nothing left for you to crave? That time will never come. We hold that there is a succession of causes"
"1427",132,"from which fate is woven; similarly"
"1428",132,"you may be sure"
"1429",132,"there is a succession in our desires; for one begins where its predecessor ends. You have been thrust into an existence which will never of itself put an end to your wretchedness and your slavery. Withdraw your chafed neck from the yoke; it is better that it should be cut off once for all"
"1430",132,"than galled for ever. If you retreat to privacy"
"1431",132,"everything will be on a smaller scale"
"1432",132,"but you will be satisfied abundantly; in your present condition"
"1433",132,"however"
"1434",132,"there is no satisfaction in the plenty which is heaped upon you on all sides. Would you rather be poor and sated"
"1435",132,"or rich and hungry? Prosperity is not only greedy"
"1436",132,"but it also lies exposed to the greed of others. And as long as nothing satisfies you"
"1437",132,"you yourself cannot satisfy others."
"1438",133,"""But"
"1439",133,""" you say"
"1440",133,"""how can I take my leave?"" Any way you please. Reflect how many hazards you have ventured for the sake of money"
"1441",133,"and how much toil you have undertaken for a title! You must dare something to gain leisure"
"1442",133,"also"
"1443",133,"– or else grow old amid the worries of procuratorships abroad and subsequently of civil duties at home"
"1444",133,"living in turmoil and in ever fresh floods of responsibilities"
"1445",133,"which no man has ever succeeded in avoiding by unobtrusiveness or by seclusion of life. For what bearing on the case has your personal desire for a secluded life? Your position in the world desires the opposite! What if"
"1446",133,"even now"
"1447",133,"you allow that position to grow greater? But all that is added to your successes will be added to your fears. At this point I should like to quote a saying of Maecenas"
"1448",133,"who spoke the truth when he stood on the very summit: ""There's thunder even on the loftiest peaks."" If you ask me in what book these words are found"
"1449",133,"they occur in the volume entitled Prometheus. He simply meant to say that these lofty peaks have their tops surrounded with thunder-storms. But is any power worth so high a price that a man like you would ever"
"1450",133,"in order to obtain it"
"1451",133,"adopt a style so debauched as that? Maecenas was indeed a man of parts"
"1452",133,"who would have left a great pattern for Roman oratory to follow"
"1453",133,"had his good fortune not made him effeminate"
"1454",133,"– nay"
"1455",133,"had it not emasculated him! An end like his awaits you also"
"1456",133,"unless you forthwith shorten sail and"
"1457",133,"– as Maecenas was not willing to do until it was too late"
"1458",133,"– hug the shore!"
"1459",134,"This saying of Maecenas's might have squared my account with you; but I feel sure"
"1460",134,"knowing you"
"1461",134,"that you will get out an injunction against me"
"1462",134,"and that you will be unwilling to accept payment of my debt in such crude and debased currency. However that may be"
"1463",134,"I shall draw on the account of Epicurus. He says: ""You must reflect carefully beforehand with whom you are to eat and drink"
"1464",134,"rather than what you are to eat and drink. For a dinner of meats without the company of a friend is like the life of a lion or a wolf."" This privilege will not be yours unless you withdraw from the world; otherwise"
"1465",134,"you will have as guests only those whom your slave-secretary sorts out from the throng of callers. It is"
"1466",134,"however"
"1467",134,"a mistake to select your friend in the reception-hall or to test him at the dinner-table. The most serious misfortune for a busy man who is overwhelmed by his possessions is"
"1468",134,"that he believes men to be his friends when he himself is not a friend to them"
"1469",134,"and that he deems his favours to be effective in winning friends"
"1470",134,"although"
"1471",134,"in the case of certain men"
"1472",134,"the more they owe"
"1473",134,"the more they hate. A trifling debt makes a man your debtor; a large one makes him an enemy. ""What"
"1474",134,""" you say"
"1475",134,"""do not kindnesses establish friendships?"" They do"
"1476",134,"if one has had the privilege of choosing those who are to receive them"
"1477",134,"and if they are placed judiciously"
"1478",134,"instead of being scattered broadcast."
"1479",135,"Therefore"
"1480",135,"while you are beginning to call your mind your own"
"1481",135,"meantime apply this maxim of the wise: consider that it is more important who receives a thing"
"1482",135,"than what it is he receives. Farewell."
"1483",136,"XX. On Practising what you Preach"
"1484",137,"If you are in good health and if you think yourself worthy of becoming at last your own master"
"1485",137,"I am glad. For the credit will be mine"
"1486",137,"if I can drag you from the floods in which you are being buffeted without hope of emerging. This"
"1487",137,"however"
"1488",137,"my dear Lucilius"
"1489",137,"I ask and beg of you"
"1490",137,"on your part"
"1491",137,"that you let wisdom sink into your soul"
"1492",137,"and test your progress"
"1493",137,"not by mere speech or writings"
"1494",137,"but by stoutness of heart and decrease of desire. Prove your words by your deeds."
"1495",138,"Far different is the purpose of those who are speech-making and trying to win the approbation of a throng of hearers"
"1496",138,"far different that of those who allure the ears of young men and idlers by many-sided or fluent argumentation; philosophy teaches us to act"
"1497",138,"not to speak; it exacts of every man that he should live according to his own standards"
"1498",138,"that his life should not be out of harmony with his words"
"1499",138,"and that"
"1500",138,"further"
"1501",138,"his inner life should be of one hue and not out of harmony with all his activities. This"
"1502",138,"I say"
"1503",138,"is the highest duty and the highest proof of wisdom"
"1504",138,"– that deed and word should be in accord"
"1505",138,"that a man should be equal to himself under all conditions"
"1506",138,"and always the same."
"1507",139,"""But"
"1508",139,""" you reply"
"1509",139,"""who can maintain this standard?"" Very few"
"1510",139,"to be sure; but there are some. It is indeed a hard undertaking"
"1511",139,"and I do not say that the philosopher can always keep the same pace. But he can always travel the same path. Observe yourself"
"1512",139,"then"
"1513",139,"and see whether your dress and your house are inconsistent"
"1514",139,"whether you treat yourself lavishly and your family meanly"
"1515",139,"whether you eat frugal dinners and yet build luxurious houses. You should lay hold"
"1516",139,"once for all"
"1517",139,"upon a single norm to live by"
"1518",139,"and should regulate your whole life according to this norm. Some men restrict themselves at home"
"1519",139,"but strut with swelling port before the public; such discordance is a fault"
"1520",139,"and it indicates a wavering mind which cannot yet keep its balance. And I can tell you"
"1521",139,"further"
"1522",139,"whence arise this unsteadiness and disagreement of action and purpose; it is because no man resolves upon what he wishes"
"1523",139,"and"
"1524",139,"even if he has done so"
"1525",139,"he does not persist in it"
"1526",139,"but jumps the track; not only does he change"
"1527",139,"but he returns and slips back to the conduct which he has abandoned and abjured. Therefore"
"1528",139,"to omit the ancient definitions of wisdom and to include the whole manner of human life"
"1529",139,"I can be satisfied with the following: ""What is wisdom? Always desiring the same things"
"1530",139,"and always refusing the same things."" You may be excused from adding the little proviso"
"1531",139,"– that what you wish"
"1532",139,"should be right; since no man can always be satisfied with the same thing"
"1533",139,"unless it is right."
"1534",140,"For this reason men do not know what they wish"
"1535",140,"except at the actual moment of wishing; no man ever decided once and for all to desire or to refuse. Judgment varies from day to day"
"1536",140,"and changes to the opposite"
"1537",140,"making many a man pass his life in a kind of game. Press on"
"1538",140,"therefore"
"1539",140,"as you have begun; perhaps you will be led to perfection"
"1540",140,"or to a point which you alone understand is still short of perfection."
"1541",141,"""But what"
"1542",141,""" you say"
"1543",141,"""will become of my crowded household without a household income?"" If you stop supporting that crowd"
"1544",141,"it will support itself; or perhaps you will learn by the bounty of poverty what you cannot learn by your own bounty. Poverty will keep for you your true and tried friends; you will be rid of the men who were not seeking you for yourself"
"1545",141,"but for something which you have. Is it not true"
"1546",141,"however"
"1547",141,"that you should love poverty"
"1548",141,"if only for this single reason"
"1549",141,"– that it will show you those by whom you are loved? O when will that time come"
"1550",141,"when no one shall tell lies to compliment you! Accordingly"
"1551",141,"let your thoughts"
"1552",141,"your efforts"
"1553",141,"your desires"
"1554",141,"help to make you content with your own self and with the goods that spring from yourself; and commit all your other prayers to God's keeping! What happiness could come closer home to you? Bring yourself down to humble conditions"
"1555",141,"from which you cannot be ejected; and in order that you may do so with greater alacrity"
"1556",141,"the contribution contained in this letter shall refer to that subject; I shall bestow it upon you forthwith."
"1557",142,"Although you may look askance"
"1558",142,"Epicurus will once again be glad to settle my indebtedness: ""Believe me"
"1559",142,"your words will be more imposing if you sleep on a cot and wear rags. For in that case you will not be merely saying them; you will be demonstrating their truth."" I"
"1560",142,"at any rate"
"1561",142,"listen in a different spirit to the utterances of our friend Demetrius"
"1562",142,"after I have seen him reclining without even a cloak to cover him"
"1563",142,"and"
"1564",142,"more than this"
"1565",142,"without rugs to lie upon. He is not only a teacher of the truth"
"1566",142,"but a witness to the truth. ""May not a man"
"1567",142,"however"
"1568",142,"despise wealth when it lies in his very pocket?"" Of course; he also is great-souled"
"1569",142,"who sees riches heaped up round him and"
"1570",142,"after wondering long and deeply because they have come into his possession"
"1571",142,"smiles"
"1572",142,"and hears rather than feels that they are his. It means much not to be spoiled by intimacy with riches; and he is truly great who is poor amidst riches. ""Yes"
"1573",142,"but I do not know"
"1574",142,""" you say"
"1575",142,"""how the man you speak of will endure poverty"
"1576",142,"if he falls into it suddenly."" Nor do I"
"1577",142,"Epicurus"
"1578",142,"know whether the poor man you speak of will despise riches"
"1579",142,"should he suddenly fall into them; accordingly"
"1580",142,"in the case of both"
"1581",142,"it is the mind that must be appraised"
"1582",142,"and we must investigate whether your man is pleased with his poverty"
"1583",142,"and whether my man is displeased with his riches. Otherwise"
"1584",142,"the cot-bed and the rags are slight proof of his good intentions"
"1585",142,"if it has not been made clear that the person concerned endures these trials not from necessity but from preference."
"1586",143,"It is the mark"
"1587",143,"however"
"1588",143,"of a noble spirit not to precipitate oneself into such things on the ground that they are better"
"1589",143,"but to practise for them on the ground that they are thus easy to endure. And they are easy to endure"
"1590",143,"Lucilius; when"
"1591",143,"however"
"1592",143,"you come to them after long rehearsal"
"1593",143,"they are even pleasant; for they contain a sense of freedom from care"
"1594",143,"– and without this nothing is pleasant. I hold it essential"
"1595",143,"therefore"
"1596",143,"to do as I have told you in a letter that great men have often done: to reserve a few days in which we may prepare ourselves for real poverty by means of fancied poverty. There is all the more reason for doing this"
"1597",143,"because we have been steeped in luxury and regard all duties as hard and onerous. Rather let the soul be roused from its sleep and be prodded"
"1598",143,"and let it be reminded that nature has prescribed very little for us. No man is born rich. Every man"
"1599",143,"when he first sees light"
"1600",143,"is commanded to be content with milk and rags. Such is our beginning"
"1601",143,"and yet kingdoms are all too small for us! Farewell."
"1602",144,"XXI. On the Renown which my Writings will Bring you"
"1603",145,"Do you conclude that you are having difficulties with those men about whom you wrote to me? Your greatest difficulty is with yourself; for you are your own stumbling-block. You do not know what you want. You are better at approving the right course than at following it out. You see where the true happiness lies"
"1604",145,"but you have not the courage to attain it. Let me tell you what it is that hinders you"
"1605",145,"inasmuch as you do not of yourself discern it."
"1606",146,"You think that this condition"
"1607",146,"which you are to abandon"
"1608",146,"is one of importance"
"1609",146,"and after resolving upon that ideal state of calm into which you hope to pass"
"1610",146,"you are held back by the lustre of your present life"
"1611",146,"from which it is your intention to depart"
"1612",146,"just as if you were about to fall into a state of filth and darkness. This is a mistake"
"1613",146,"Lucilius; to go from your present life into the other is a promotion. There is the same difference between these two lives as there is between mere brightness and real light; the latter has a definite source within itself"
"1614",146,"the other borrows its radiance; the one is called forth by an illumination coming from the outside"
"1615",146,"and anyone who stands between the source and the object immediately turns the latter into a dense shadow; but the other has a glow that comes from within."
"1616",147,"It is your own studies that will make you shine and will render you eminent. Allow me to mention the case of Epicurus. He was writing to Idomeneus and trying to recall him from a showy existence to sure and steadfast renown. Idomeneus was at that time a minister of state who exercised a rigorous authority and had important affairs in hand. ""If"
"1617",147,""" said Epicurus"
"1618",147,"""you are attracted by fame"
"1619",147,"my letters will make you more renowned than all the things which you cherish and which make you cherished."" Did Epicurus speak falsely? Who would have known of Idomeneus"
"1620",147,"had not the philosopher thus engraved his name in those letters of his? All the grandees and satraps"
"1621",147,"even the king himself"
"1622",147,"who was petitioned for the title which Idomeneus sought"
"1623",147,"are sunk in deep oblivion. Cicero's letters keep the name of Atticus from perishing. It would have profited Atticus nothing to have an Agrippa for a son-in-law"
"1624",147,"a Tiberius for the husband of his grand-daughter"
"1625",147,"and a Drusus Caesar for a great-grandson; amid these mighty names his name would never be spoken"
"1626",147,"had not Cicero bound him to himself. The deep flood of time will roll over us; some few great men will raise their heads above it"
"1627",147,"and"
"1628",147,"though destined at the last to depart into the same realms of silence"
"1629",147,"will battle against oblivion and maintain their ground for long."
"1630",148,"That which Epicurus could promise his friend"
"1631",148,"this I promise you"
"1632",148,"Lucilius. I shall find favour among later generations; I can take with me names that will endure as long as mine. Our poet Vergil promised an eternal name to two heroes"
"1633",148,"and is keeping his promise:"
"1634",149,"Blest heroes twain! If power my song possess"
"1635",150,"The record of your names shall never be"
"1636",151,"Erased from out the book of Time"
"1637",151,"while yet"
"1638",152,"Aeneas' tribe shall keep the Capitol"
"1639",153,"That rock immovable"
"1640",153,"and Roman sire"
"1641",154,"Shall empire hold."
"1642",155,"Whenever men have been thrust forward by fortune"
"1643",155,"whenever they have become part and parcel of another's influence"
"1644",155,"they have found abundant favour"
"1645",155,"their houses have been thronged"
"1646",155,"only so long as they themselves have kept their position; when they themselves have left it"
"1647",155,"they have slipped at once from the memory of men. But in the case of innate ability"
"1648",155,"the respect in which it is held increases"
"1649",155,"and not only does honour accrue to the man himself"
"1650",155,"but whatever has attached itself to his memory is passed on from one to another."
"1651",156,"In order that Idomeneus may not be introduced free of charge into my letter"
"1652",156,"he shall make up the indebtedness from his own account. It was to him that Epicurus addressed the well-known saying urging him to make Pythocles rich"
"1653",156,"but not rich in the vulgar and equivocal way. ""If you wish"
"1654",156,""" said he"
"1655",156,"""to make Pythocles rich"
"1656",156,"do not add to his store of money"
"1657",156,"but subtract from his desires."" This idea is too clear to need explanation"
"1658",156,"and too clever to need reinforcement. There is"
"1659",156,"however"
"1660",156,"one point on which I would warn you"
"1661",156,"– not to consider that this statement applies only to riches; its value will be the same"
"1662",156,"no matter how you apply it. ""If you wish to make Pythocles honourable"
"1663",156,"do not add to his honours"
"1664",156,"but subtract from his desires""; ""if you wish Pythocles to have pleasure for ever"
"1665",156,"do not add to his pleasures"
"1666",156,"but subtract from his desires""; ""if you wish to make Pythocles an old man"
"1667",156,"filling his life to the full"
"1668",156,"do not add to his years"
"1669",156,"but subtract from his desires."" There is no reason why you should hold that these words belong to Epicurus alone; they are public property. I think we ought to do in philosophy as they are wont to do in the Senate: when someone has made a motion"
"1670",156,"of which I approve to a certain extent"
"1671",156,"I ask him to make his motion in two parts"
"1672",156,"and I vote for the part which I approve. So I am all the more glad to repeat the distinguished words of Epicurus"
"1673",156,"in order that I may prove to those who have recourse to him through a bad motive"
"1674",156,"thinking that they will have in him a screen for their own vices"
"1675",156,"that they must live honourably"
"1676",156,"no matter what school they follow."
"1677",157,"Go to his Garden and read the motto carved there: ""Stranger"
"1678",157,"here you will do well to tarry; here our highest good is pleasure."" The care-taker of that abode"
"1679",157,"a kindly host"
"1680",157,"will be ready for you; he will welcome you with barley-meal and serve you water also in abundance"
"1681",157,"with these words: ""Have you not been well entertained?"" ""This garden"
"1682",157,""" he says"
"1683",157,"""does not whet your appetite; it quenches it. Nor does it make you more thirsty with every drink; it slakes the thirst by a natural cure"
"1684",157,"– a cure that demands no fee. This is the 'pleasure' in which I have grown old."""
"1685",158,"In speaking with you"
"1686",158,"however"
"1687",158,"I refer to those desires which refuse alleviation"
"1688",158,"which must be bribed to cease. For in regard to the exceptional desires"
"1689",158,"which may be postponed"
"1690",158,"which may be chastened and checked"
"1691",158,"I have this one thought to share with you: a pleasure of that sort is according to our nature"
"1692",158,"but it is not according to our needs; one owes nothing to it; whatever is expended upon it is a free gift. The belly will not listen to advice; it makes demands"
"1693",158,"it importunes. And yet it is not a troublesome creditor; you can send it away at small cost"
"1694",158,"provided only that you give it what you owe"
"1695",158,"not merely all you are able to give. Farewell."
"1696",159,"XXII. On the Futility of Half-Way Measures"
"1697",160,"You understand by this time that you must withdraw yourself from those showy and depraved pursuits; but you still wish to know how this may be accomplished. There are certain things which can be pointed out only by someone who is present. The physician cannot prescribe by letter the proper time for eating or bathing; he must feel the pulse. There is an old adage about gladiators"
"1698",160,"– that they plan their fight in the ring; as they intently watch"
"1699",160,"something in the adversary's glance"
"1700",160,"some movement of his hand"
"1701",160,"even some slight bending of his body"
"1702",160,"gives a warning. We can formulate general rules and commit them to writing"
"1703",160,"as to what is usually done"
"1704",160,"or ought to be done; such advice may be given"
"1705",160,"not only to our absent friends"
"1706",160,"but also to succeeding generations. In regard"
"1707",160,"however"
"1708",160,"to that second question"
"1709",160,"– when or how your plan is to be carried out"
"1710",160,"– no one will advise at long range; we must take counsel in the presence of the actual situation. You must be not only present in the body"
"1711",160,"but watchful in mind"
"1712",160,"if you would avail yourself of the fleeting opportunity. Accordingly"
"1713",160,"look about you for the opportunity; if you see it"
"1714",160,"grasp it"
"1715",160,"and with all your energy and with all your strength devote yourself to this task"
"1716",160,"– to rid yourself of those business duties."
"1717",161,"Now listen carefully to the opinion which I shall offer; it is my opinion that you should withdraw either from that kind of existence"
"1718",161,"or else from existence altogether. But I likewise maintain that you should take a gentle path"
"1719",161,"that you may loosen rather than cut the knot which you have bungled so badly in tying"
"1720",161,"– provided that if there shall be no other way of loosening it"
"1721",161,"you may actually cut it. No man is so faint-hearted that he would rather hang in suspense for ever than drop once for all. Meanwhile"
"1722",161,"– and this is of first importance"
"1723",161,"– do not hamper yourself; be content with the business into which you have lowered yourself"
"1724",161,"or"
"1725",161,"as you prefer to have people think"
"1726",161,"have tumbled. There is no reason why you should be struggling on to something further; if you do"
"1727",161,"you will lose all grounds of excuse"
"1728",161,"and men will see that it was not a tumble. The usual explanation which men offer is wrong: ""I was compelled to do it. Suppose it was against my will; I had to do it."" But no one is compelled to pursue prosperity at top speed; it means something to call a halt"
"1729",161,"– even if one does not offer resistance"
"1730",161,"– instead of pressing eagerly after favouring fortune. Shall you then be put out with me"
"1731",161,"if I not only come to advise you"
"1732",161,"but also call in others to advise you"
"1733",161,"– wiser heads than my own"
"1734",161,"men before whom I am wont to lay any problem upon which I am pondering? Read the letter of Epicurus which bears on this matter; it is addressed to Idomeneus. The writer asks him to hasten as fast as he can"
"1735",161,"and beat a retreat before some stronger influence comes between and takes from him the liberty to withdraw. But he also adds that one should attempt nothing except at the time when it can be attempted suitably and seasonably. Then"
"1736",161,"when the long-sought occasion comes"
"1737",161,"let him be up and doing. Epicurus forbids us to doze when we are meditating escape; he bids us hope for a safe release from even the hardest trials"
"1738",161,"provided that we are not in too great a hurry before the time"
"1739",161,"nor too dilatory when the time arrives."
"1740",162,"Now"
"1741",162,"I suppose"
"1742",162,"you are looking for a Stoic motto also. There is really no reason why anyone should slander that school to you on the ground of its rashness; as a matter of fact"
"1743",162,"its caution is greater than its courage. You are perhaps expecting the sect to utter such words as these: ""It is base to flinch under a burden. Wrestle with the duties which you have once undertaken. No man is brave and earnest if he avoids danger"
"1744",162,"if his spirit does not grow with the very difficulty of his task."" Words like these will indeed be spoken to you"
"1745",162,"if only your perseverance shall have an object that is worth while"
"1746",162,"if only you will not have to do or to suffer anything unworthy of a good man; besides"
"1747",162,"a good man will not waste himself upon mean and discreditable work or be busy merely for the sake of being busy. Neither will he"
"1748",162,"as you imagine"
"1749",162,"become so involved in ambitious schemes that he will have continually to endure their ebb and flow. Nay"
"1750",162,"when he sees the dangers"
"1751",162,"uncertainties"
"1752",162,"and hazards in which he was formerly tossed about"
"1753",162,"he will withdraw"
"1754",162,"– not turning his back to the foe"
"1755",162,"but falling back little by little to a safe position. From business"
"1756",162,"however"
"1757",162,"my dear Lucilius"
"1758",162,"it is easy to escape"
"1759",162,"if only you will despise the rewards of business. We are held back and kept from escaping by thoughts like these: ""What then? Shall I leave behind me these great prospects? Shall I depart at the very time of harvest? Shall I have no slaves at my side? no retinue for my litter? no crowd in my reception-room?"""
"1760",163,"Hence men leave such advantages as these with reluctance; they love the reward of their hardships"
"1761",163,"but curse the hardships themselves. Men complain about their ambitions as they complain about their mistresses; in other words"
"1762",163,"if you penetrate their real feelings"
"1763",163,"you will find"
"1764",163,"not hatred"
"1765",163,"but bickering. Search the minds of those who cry down what they have desired"
"1766",163,"who talk about escaping from things which they are unable to do without; you will comprehend that they are lingering of their own free will in a situation which they declare they find it hard and wretched to endure. It is so"
"1767",163,"my dear Lucilius; there are a few men whom slavery holds fast"
"1768",163,"but there are many more who hold fast to slavery."
"1769",164,"If"
"1770",164,"however"
"1771",164,"you intend to be rid of this slavery; if freedom is genuinely pleasing in your eyes; and if you seek counsel for this one purpose"
"1772",164,"– that you may have the good fortune to accomplish this purpose without perpetual annoyance"
"1773",164,"– how can the whole company of Stoic thinkers fail to approve your course? Zeno"
"1774",164,"Chrysippus"
"1775",164,"and all their kind will give you advice that is temperate"
"1776",164,"honourable"
"1777",164,"and suitable. But if you keep turning round and looking about"
"1778",164,"in order to see how much you may carry away with you"
"1779",164,"and how much money you may keep to equip yourself for the life of leisure"
"1780",164,"you will never find a way out. No man can swim ashore and take his baggage with him. Rise to a higher life"
"1781",164,"with the favour of the gods; but let it not be favour of such a kind as the gods give to men when with kind and genial faces they bestow magnificent ills"
"1782",164,"justified in so doing by the one fact that the things which irritate and torture have been bestowed in answer to prayer."
"1783",165,"I was just putting the seal upon this letter; but it must be broken again"
"1784",165,"in order that it may go to you with its customary contribution"
"1785",165,"bearing with it some noble word. And lo"
"1786",165,"here is one that occurs to my mind; I do not know whether its truth or its nobility of utterance is the greater. ""Spoken by whom?"" you ask. By Epicurus; for I am still appropriating other men's belongings. The words are: ""Everyone goes out of life just as if he had but lately entered it."" Take anyone off his guard"
"1787",165,"– young"
"1788",165,"old"
"1789",165,"or middle-aged; you will find that all are equally afraid of death"
"1790",165,"and equally ignorant of life. No one has anything finished"
"1791",165,"because we have kept putting off into the future all our undertakings. No thought in the quotation given above pleases me more than that it taunts old men with being infants. ""No one"
"1792",165,""" he says"
"1793",165,"""leaves this world in a different manner from one who has just been born."" That is not true; for we are worse when we die than when we were born; but it is our fault"
"1794",165,"and not that of Nature. Nature should scold us"
"1795",165,"saying: ""What does this mean? I brought you into the world without desires or fears"
"1796",165,"free from superstition"
"1797",165,"treachery and the other curses. Go forth as you were when you entered!"""
"1798",166,"A man has caught the message of wisdom"
"1799",166,"if he can die as free from care as he was at birth; but as it is"
"1800",166,"we are all a-flutter at the approach of the dreaded end. Our courage fails us"
"1801",166,"our cheeks blanch; our tears fall"
"1802",166,"though they are unavailing. But what is baser than to fret at the very threshold of peace? The reason"
"1803",166,"however"
"1804",166,"is"
"1805",166,"that we are stripped of all our goods"
"1806",166,"we have jettisoned our cargo of life and are in distress; for no part of it has been packed in the hold; it has all been heaved overboard and has drifted away. Men do not care how nobly they live"
"1807",166,"but only how long"
"1808",166,"although it is within the reach of every man to live nobly"
"1809",166,"but within no man's power to live long. Farewell."
"1810",167,"XXIII. On the True Joy which Comes from Philosophy"
"1811",168,"Do you suppose that I shall write you how kindly the winter season has dealt with us"
"1812",168,"– a short season and a mild one"
"1813",168,"– or what a nasty spring we are having"
"1814",168,"– cold weather out of season"
"1815",168,"– and all the other trivialities which people write when they are at a loss for topics of conversation? No; I shall communicate something which may help both you and myself. And what shall this ""something"" be"
"1816",168,"if not an exhortation to soundness of mind? Do you ask what is the foundation of a sound mind? It is"
"1817",168,"not to find joy in useless things. I said that it was the foundation; it is really the pinnacle. We have reached the heights if we know what it is that we find joy in and if we have not placed our happiness in the control of externals. The man who is goaded ahead by hope of anything"
"1818",168,"though it be within reach"
"1819",168,"though it be easy of access"
"1820",168,"and though his ambitions have never played him false"
"1821",168,"is troubled and unsure of himself. Above all"
"1822",168,"my dear Lucilius"
"1823",168,"make this your business: learn how to feel joy."
"1824",169,"Do you think that I am now robbing you of many pleasures when I try to do away with the gifts of chance"
"1825",169,"when I counsel the avoidance of hope"
"1826",169,"the sweetest thing that gladdens our hearts? Quite the contrary; I do not wish you ever to be deprived of gladness. I would have it born in your house; and it is born there"
"1827",169,"if only it be inside of you. Other objects of cheer do not fill a man's bosom; they merely smooth his brow and are inconstant"
"1828",169,"– unless perhaps you believe that he who laughs has joy. The very soul must be happy and confident"
"1829",169,"lifted above every circumstance."
"1830",170,"Real joy"
"1831",170,"believe me"
"1832",170,"is a stern matter. Can one"
"1833",170,"do you think"
"1834",170,"despise death with a care-free countenance"
"1835",170,"or with a ""blithe and gay"" expression"
"1836",170,"as our young dandies are accustomed to say? Or can one thus open his door to poverty"
"1837",170,"or hold the curb on his pleasures"
"1838",170,"or contemplate the endurance of pain? He who ponders these things in his heart is indeed full of joy; but it is not a cheerful joy. It is just this joy"
"1839",170,"however"
"1840",170,"of which I would have you become the owner; for it will never fail you when once you have found its source. The yield of poor mines is on the surface; those are really rich whose veins lurk deep"
"1841",170,"and they will make more bountiful returns to him who delves unceasingly. So too those baubles which delight the common crowd afford but a thin pleasure"
"1842",170,"laid on as a coating"
"1843",170,"and every joy that is only plated lacks a real basis. But the joy of which I speak"
"1844",170,"that to which I am endeavouring to lead you"
"1845",170,"is something solid"
"1846",170,"disclosing itself the more fully as you penetrate into it. Therefore I pray you"
"1847",170,"my dearest Lucilius"
"1848",170,"do the one thing that can render you really happy: cast aside and trample under foot all those things that glitter outwardly and are held out to you by another or as obtainable from another; look toward the true good"
"1849",170,"and rejoice only in that which comes from your own store. And what do I mean by ""from your own store""? I mean from your very self"
"1850",170,"that which is the best part of you. The frail body"
"1851",170,"also"
"1852",170,"even though we can accomplish nothing without it"
"1853",170,"is to be regarded as necessary rather than as important; it involves us in vain pleasures"
"1854",170,"short-lived"
"1855",170,"and soon to be regretted"
"1856",170,"which"
"1857",170,"unless they are reined in by extreme self-control"
"1858",170,"will be transformed into the opposite. This is what I mean: pleasure"
"1859",170,"unless it has been kept within bounds"
"1860",170,"tends to rush headlong into the abyss of sorrow."
"1861",171,"But it is hard to keep within bounds in that which you believe to be good. The real good may be coveted with safety. Do you ask me what this real good is"
"1862",171,"and whence it derives? I will tell you: it comes from a good conscience"
"1863",171,"from honourable purposes"
"1864",171,"from right actions"
"1865",171,"from contempt of the gifts of chance"
"1866",171,"from an even and calm way of living which treads but one path. For men who leap from one purpose to another"
"1867",171,"or do not even leap but are carried over by a sort of hazard"
"1868",171,"– how can such wavering and unstable persons possess any good that is fixed and lasting? There are only a few who control themselves and their affairs by a guiding purpose; the rest do not proceed; they are merely swept along"
"1869",171,"like objects afloat in a river. And of these objects"
"1870",171,"some are held back by sluggish waters and are transported gently; others are torn along by a more violent current; some"
"1871",171,"which are nearest the bank"
"1872",171,"are left there as the current slackens; and others are carried out to sea by the onrush of the stream. Therefore"
"1873",171,"we should decide what we wish"
"1874",171,"and abide by the decision."
"1875",172,"Now is the time for me to pay my debt. I can give you a saying of your friend Epicurus and thus clear this letter of its obligation: ""It is bothersome always to be beginning life."" Or another"
